Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
AT3G10580_COLAMP_A	AT3G10580_colamp_a(AT3G10580) Target genes predicted by DAP-seq	78	736	TFT	4627	AT1G09810//AT5G48240//AT5G60990//AT1G51380//AT5G40670//AT1G07940//AT1G18080//AT3G23620//AT2G33380//AT3G60880//AT5G61880//AT1G10450//AT2G20800//AT1G65230//AT5G44320//AT1G67865//AT2G27840//AT5G07090//AT3G55160//AT1G47490//AT2G16570//AT1G08910//AT5G51540//AT1G12920//AT3G04920//AT2G24560//AT1G06720//AT2G04050//AT3G57150//AT1G32550//AT2G40510//AT5G04150//AT1G60850//AT3G05030//AT4G13150//AT1G64050//AT5G14050//AT5G23710//AT5G45095//AT1G11070//AT2G04030//AT5G09840//AT1G36180//AT2G37990//AT1G71280//AT4G09800//AT5G41190//AT4G01860//AT2G46230//AT1G17880//AT5G45140//AT5G35760//AT4G11211//AT1G57870//AT2G31660//AT4G30990//AT2G22490//AT2G37270//AT1G24148//AT3G11964//AT2G35240//AT3G03630//AT1G01250//AT2G03710//AT4G17840//AT1G49920//AT3G61100//AT3G62310//AT5G40490//AT3G49140//AT3G14600//AT1G55040//AT3G51750//AT3G16840//AT2G17670//AT3G55280//AT3G56490//AT5G65860	0.999990092591666	1
MACROMOLECULE_MODIFICATION	GO:0043412   macromolecule modification,    GOslim:biological_process	165	736	BP	3188	AT5G18570//AT4G05400//AT2G40030//AT3G09500//AT3G63130//AT3G62870//AT3G09630//AT1G18850//AT3G21540//AT4G24480//AT2G36170//AT4G15850//AT4G31810//AT1G16960//AT1G09760//AT1G23280//AT5G16750//AT3G06530//AT1G63660//AT3G18600//AT5G52470//AT4G29410//AT1G63780//AT5G22650//AT5G11410//AT4G16720//AT3G45430//AT4G27490//AT1G29720//AT4G09800//AT2G28600//AT4G04670//AT5G57050//AT3G27180//AT1G56110//AT3G02200//AT5G16130//AT5G58420//AT5G02870//AT5G60960//AT3G05060//AT4G12600//AT1G25350//AT2G44120//AT1G10840//AT5G40770//AT3G10610//AT3G51800//AT5G24840//AT3G57150//AT3G01610//AT5G35530//AT5G61880//AT2G45710//AT3G57000//AT2G44860//AT3G26410//AT1G77550//AT1G48920//AT1G61570//AT5G04600//AT4G25630//AT1G43170//AT2G47610//AT3G16810//AT3G51270//AT5G15610//AT5G58130//AT4G29510//AT1G03530//AT4G28200//AT2G40700//AT4G15000//AT5G23300//AT1G23410//AT1G50920//AT4G31160//AT3G14600//AT2G40010//AT2G27840//AT1G48630//AT4G10450//AT5G22440//AT3G44750//AT3G56120//AT4G05410//AT5G51020//AT2G23070//AT3G16780//AT5G41360//AT1G20370//AT4G15640//AT1G18540//AT3G20000//AT1G72370//AT1G29900//AT5G48240//AT2G40570//AT3G11710//AT4G01560//AT1G72090//AT1G49540//AT2G45280//AT3G22660//AT1G14060//AT3G03920//AT2G47790//AT3G20050//AT1G57870//AT4G25730//AT5G08180//AT2G41840//AT5G58610//AT2G19670//AT3G58660//AT3G15460//AT1G03110//AT4G31700//AT4G21770//AT1G52930//AT5G03740//AT5G17270//AT3G46210//AT3G12270//AT1G15440//AT3G49240//AT3G23620//AT5G09510//AT3G19210//AT5G20290//AT5G15550//AT3G04920//AT2G06990//AT3G27740//AT3G57290//AT2G17360//AT3G07750//AT2G37990//AT5G62440//AT1G26880//AT5G13830//AT3G49010//AT4G25340//AT3G56070//AT5G02050//AT3G19440//AT3G58700//AT3G55510//AT1G27400//AT1G34030//AT1G80750//AT4G32720//AT1G79470//AT2G20490//AT4G15770//AT3G11964//AT3G06930//AT5G39740//AT5G20160//AT1G26630//AT5G37490//AT3G11410//AT5G35910//AT5G27470//AT3G47580	4.33656796441829e-18	9.3404063202465e-16
FHY1_TARGET_GENES	FHY1 (AT1G79790) target genes under FR. The transcription factor ChIP-seq data was collected from PCSD.	92	736	TFT	3352	AT3G09500//AT1G17560//AT3G55750//AT1G07920//AT2G16650//AT3G62870//AT3G21540//AT1G50920//AT2G45280//AT1G15500//AT5G67220//AT5G52470//AT1G63780//AT4G27390//AT3G01600//AT1G17470//AT3G61620//AT5G47930//AT3G63130//AT5G09330//AT3G03630//AT5G60360//AT4G27010//AT2G44120//AT1G10840//AT1G06560//AT3G57150//AT5G41190//AT1G79950//AT2G45710//AT5G53540//AT4G35490//AT1G12920//AT3G55280//AT2G47610//AT3G15640//AT4G17840//AT5G58130//AT1G73680//AT5G57030//AT1G69070//AT2G45310//AT5G49560//AT1G21400//AT5G05450//AT4G37910//AT1G09640//AT5G44320//AT1G15930//AT2G45670//AT3G49660//AT2G38310//AT3G61630//AT2G28000//AT2G18193//AT5G48240//AT3G57940//AT3G05130//AT3G22320//AT2G20490//AT3G09630//AT3G09720//AT5G52520//AT1G03110//AT4G31700//AT1G79150//AT1G04170//AT2G17670//AT1G07940//AT3G01550//AT3G57350//AT1G68990//AT1G02750//AT3G20330//AT5G20290//AT5G42030//AT4G19130//AT1G74560//AT2G17360//AT3G07750//AT5G09995//AT2G40510//AT2G04030//AT1G07930//AT4G01860//AT3G62310//AT4G19210//AT5G56680//AT1G22780//AT2G37270//AT3G11410//AT4G38810	0.254621613350349	1
MATURE_RIBOSOME_ASSEMBLY	GO:0042256   mature ribosome assembly,    GOslim:biological_process	2	736	BP	3	AT1G72370//AT3G55620	0.00590842332070604	0.369786312043379
AT1G47655_COLAMP_A	AT1G47655_colamp_a(AT1G47655) Target genes predicted by DAP-seq	128	736	TFT	5937	AT1G64660//AT2G40030//AT5G40670//AT5G60670//AT3G63130//AT2G34260//AT1G28395//AT3G57660//AT2G19540//AT4G31810//AT1G16960//AT1G32550//AT3G06530//AT1G63660//AT2G19385//AT5G22650//AT3G56150//AT3G45430//AT4G13150//AT2G22490//AT5G16130//AT4G37380//AT4G38810//AT4G04670//AT5G57050//AT3G27180//AT1G64880//AT2G28600//AT3G03341//AT5G14610//AT2G21640//AT5G37130//AT5G63890//AT1G25350//AT1G77940//AT2G44120//AT3G56490//AT4G02930//AT5G17710//AT5G27230//AT2G18180//AT3G57150//AT4G39040//AT4G16630//AT3G01345//AT1G10450//AT4G22720//AT5G53540//AT1G80620//AT5G14580//AT1G42440//AT4G25630//AT2G42720//AT2G04070//AT4G07410//AT3G13230//AT4G16180//AT5G37440//AT1G73680//AT1G03530//AT2G18220//AT4G24280//AT1G18800//AT4G11211//AT2G45310//AT4G15730//AT2G03710//AT3G29633//AT1G49920//AT3G48500//AT5G20890//AT1G09810//AT4G37910//AT5G26180//AT5G19510//AT3G23480//AT4G30150//AT5G16750//AT5G34869//AT4G26600//AT1G06670//AT1G11070//AT4G13750//AT5G09840//AT5G41190//AT3G02080//AT5G35760//AT2G36070//AT4G30990//AT5G11840//AT5G58610//AT3G55010//AT4G31700//AT3G60360//AT3G15080//AT5G27330//AT2G44510//AT1G06720//AT3G57350//AT5G04150//AT3G55160//AT3G20440//AT2G24255//AT3G24780//AT1G52315//AT1G26470//AT1G74560//AT3G02760//AT5G17270//AT5G06110//AT3G05030//AT4G34740//AT5G13780//AT3G25940//AT5G45095//AT3G49010//AT2G41190//AT5G41970//AT4G32510//AT3G19440//AT2G39850//AT1G12920//AT1G80750//AT3G20300//AT3G11964//AT3G06930//AT2G05915//AT5G58370	0.98715559481656	1
MYB81_COL_A	MYB81_col_a(AT2G26960) Target genes predicted by DAP-seq	49	736	TFT	2864	AT5G17710//AT5G25800//AT1G48920//AT5G60990//AT4G29030//AT5G24280//AT5G28810//AT3G27180//AT1G80410//AT2G43110//AT3G57000//AT3G12860//AT2G37690//AT4G15850//AT4G31810//AT2G06420//AT3G55280//AT2G18720//AT1G51310//AT1G29940//AT5G52650//AT1G10490//AT2G04070//AT4G07410//AT4G25340//AT1G36180//AT5G16930//AT1G73680//AT3G19440//AT5G08600//AT1G22960//AT3G26730//AT3G22310//AT2G34570//AT5G46790//AT2G18193//AT5G15420//AT3G03341//AT1G19150//AT3G18140//AT5G27620//AT3G15460//AT3G13940//AT3G03060//AT5G37130//AT3G11410//AT1G55040//AT4G00620//AT2G19670	0.999254174789005	1
HOLO_TFIIH_COMPLEX	GO:0005675   holo TFIIH complex,    GOslim:cellular_component	1	736	CC	2	AT5G27620	0.0729714930725073	1
ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	GO:0051656   establishment of organelle localization,    GOslim:biological_process	3	736	BP	108	AT3G47450//AT1G65230//AT5G16620	0.525637561719884	1
POSITIVE_REGULATION_OF_CELL_COMMUNICATION	GO:0010647   positive regulation of cell communication,    GOslim:biological_process	1	736	BP	31	AT1G07430	0.554530306231283	1
LYSINE_BIOSYNTHESIS_VI	lysine biosynthesis VI	4	736	Cyc	15	AT3G60880//AT1G14810//AT5G13280//AT3G14390	0.00110327428630567	0.0909553164167055
TRANSLATION	GO:0006412   translation,    GOslim:biological_process	145	736	BP	1342	AT3G09500//AT5G60670//AT1G17560//AT3G55750//AT3G62120//AT1G07920//AT1G58684//AT3G62870//AT2G31610//AT5G07090//AT2G36170//AT2G04390//AT3G11400//AT1G57720//AT4G29410//AT2G40510//AT3G04770//AT2G41840//AT4G16720//AT4G09800//AT1G15250//AT2G19730//AT2G33840//AT5G47930//AT1G64880//AT5G16130//AT5G02870//AT1G74270//AT5G39850//AT1G25350//AT1G77940//AT4G31180//AT1G10840//AT4G02930//AT3G10610//AT5G19510//AT1G18080//AT2G18020//AT5G35530//AT2G34520//AT2G45710//AT1G80620//AT2G44860//AT2G24050//AT1G12920//AT4G25740//AT3G55280//AT1G43170//AT2G47610//AT1G09620//AT5G23900//AT5G58420//AT5G46160//AT2G44120//AT4G11420//AT3G55620//AT3G13580//AT2G18110//AT3G24830//AT4G15000//AT1G23410//AT5G27640//AT3G13882//AT3G04600//AT3G14600//AT1G08360//AT2G40010//AT4G36130//AT5G18790//AT2G34970//AT2G03130//AT1G48630//AT1G74060//AT3G16780//AT4G10450//AT5G22440//AT1G06380//AT2G39990//AT5G44320//AT1G15930//AT2G20060//AT3G28500//AT1G09640//AT1G18540//AT1G72370//AT5G59240//AT2G39390//AT1G58983//AT2G40570//AT3G11710//AT1G58380//AT3G09630//AT3G02080//AT3G56340//AT5G52520//AT2G05220//AT1G71770//AT3G22860//AT3G58660//AT3G11940//AT4G31700//AT5G10360//AT3G42723//AT1G07940//AT3G56150//AT5G09510//AT3G09680//AT2G40590//AT5G46430//AT1G59359//AT3G02560//AT3G04920//AT5G27470//AT3G06680//AT3G57290//AT1G57660//AT3G02760//AT2G17360//AT1G14610//AT4G35490//AT5G52650//AT1G29965//AT1G26880//AT1G74050//AT3G49010//AT4G13170//AT3G30770//AT1G07930//AT5G20290//AT3G58700//AT1G27400//AT1G34030//AT1G80750//AT2G36160//AT2G37270//AT5G56680//AT1G22780//AT5G04800//AT5G39740//AT1G26630//AT5G06360//AT1G64600//AT3G11250//AT5G25780//AT1G17960	9.68004706744161e-47	6.4286170949441e-44
METHYLGLYOXAL_CATABOLIC_PROCESS	GO:0051596   methylglyoxal catabolic process,    GOslim:biological_process	6	736	BP	96	AT5G51540//AT4G37910//AT3G19440//AT5G58370//AT5G13830//AT4G25730	0.042569591487994	1
DNA_HELICASE_ACTIVITY	GO:0003678   DNA helicase activity,    GOslim:molecular_function	4	736	MF	26	AT5G41360//AT1G30680//AT1G79950//AT1G06670	0.00628081236880205	0.392066410190655
CARBOHYDRATE_METABOLIC_PROCESS	GO:0005975   carbohydrate metabolic process,    GOslim:biological_process	34	736	BP	2239	AT4G37910//AT1G18080//AT4G29200//AT3G01345//AT1G65230//AT3G20440//AT1G62540//AT5G27470//AT1G74560//AT1G32550//AT3G15640//AT4G39040//AT1G29900//AT1G67120//AT4G27640//AT3G52140//AT3G47450//AT3G20050//AT5G35760//AT5G19820//AT5G46790//AT2G45310//AT1G19150//AT1G64550//AT2G35500//AT5G39740//AT1G30580//AT1G26630//AT5G60360//AT3G49140//AT1G23410//AT1G72370//AT4G31180//AT5G20890	0.999738686955914	1
REGULATION_OF_PEPTIDASE_ACTIVITY	GO:0052547   regulation of peptidase activity,    GOslim:biological_process	1	736	BP	10	AT2G35580	0.242600942212811	1
SESQUITERPENOID_METABOLIC_PROCESS	GO:0006714   sesquiterpenoid metabolic process,    GOslim:biological_process	1	736	BP	50	AT1G32550	0.724500232945652	1
ROOT_MERISTEM_GROWTH	GO:0010449   root meristem growth,    GOslim:biological_process	1	736	BP	16	AT4G07410	0.349147325222186	1
FATTY_ACID_OXIDATION	GO:0019395   fatty acid oxidation,    GOslim:biological_process	1	736	BP	176	AT4G31810	0.98871056709449	1
AT1G47655_COL_A	AT1G47655_col_a(AT1G47655) Target genes predicted by DAP-seq	23	736	TFT	944	AT5G19510//AT1G17560//AT1G07920//AT5G23250//AT3G16780//AT4G19130//AT1G80620//AT2G20060//AT3G23990//AT4G24480//AT5G16750//AT3G05030//AT1G11070//AT1G36180//AT5G18570//AT5G57490//AT1G62390//AT2G21440//AT2G24120//AT5G08540//AT3G55010//AT4G02930//AT3G29633	0.622133463891006	1
SUCCINATE-COA_LIGASE_ACTIVITY	GO:0004774   succinate-CoA ligase activity,    GOslim:molecular_function	1	736	MF	5	AT5G23250	0.140624852055019	1
PROTON_TRANSPORT	GO:0015992   proton transport,    GOslim:biological_process	2	736	BP	147	AT1G19150//AT3G05030	0.888946274164109	1
GLYCOSIDE_BIOSYNTHETIC_PROCESS	GO:0016138   glycoside biosynthetic process,    GOslim:biological_process	4	736	BP	215	AT1G19150//AT5G46790//AT1G62540//AT1G65230	0.798562438982139	1
THYLAKOID_MEMBRANE_ORGANIZATION	GO:0010027   thylakoid membrane organization,    GOslim:biological_process	7	736	BP	198	AT5G16620//AT3G47450//AT5G18570//AT3G54090//AT3G49140//AT1G65230//AT5G52520	0.252297614529686	1
ORGANELLE_ENVELOPE_LUMEN	GO:0031970   organelle envelope lumen,    GOslim:cellular_component	1	736	CC	8	AT1G61570	0.203347171761522	1
RNA_METHYLATION	GO:0001510   RNA methylation,    GOslim:biological_process	99	736	BP	185	AT3G09500//AT3G62870//AT1G18850//AT3G21540//AT2G36170//AT1G50920//AT1G09760//AT5G16750//AT3G06530//AT1G63660//AT3G18600//AT5G52470//AT4G29410//AT1G63780//AT5G22650//AT4G16720//AT3G55510//AT5G16130//AT3G27180//AT1G56110//AT2G28600//AT5G02870//AT3G05060//AT4G12600//AT2G44120//AT5G03740//AT3G10610//AT3G51800//AT5G04600//AT3G57150//AT5G35530//AT2G45710//AT2G44860//AT1G48920//AT1G61570//AT4G25630//AT1G43170//AT2G47610//AT3G16810//AT5G58420//AT4G28200//AT4G15000//AT5G40770//AT2G40010//AT2G27840//AT1G48630//AT4G10450//AT5G22440//AT3G44750//AT4G05410//AT3G20000//AT3G16780//AT4G15640//AT1G18540//AT1G72370//AT3G03920//AT4G09800//AT5G48240//AT3G09630//AT2G47790//AT3G20050//AT1G23280//AT4G25730//AT5G08180//AT2G41840//AT3G58660//AT3G15460//AT1G03110//AT4G31700//AT1G52930//AT3G46210//AT3G12270//AT1G15440//AT3G23620//AT5G09510//AT5G20290//AT5G15550//AT3G04920//AT3G27740//AT2G17360//AT3G07750//AT2G37990//AT1G26880//AT5G13830//AT3G49010//AT4G25340//AT3G56070//AT5G02050//AT3G58700//AT3G22660//AT1G27400//AT1G34030//AT1G80750//AT1G79470//AT2G20490//AT4G15770//AT3G11964//AT5G39740//AT5G20160	1.15207307130611e-85	2.75437213488781e-81
CELL_WALL_THICKENING	GO:0052386   cell wall thickening,    GOslim:biological_process	1	736	BP	48	AT3G22120	0.710201754557996	1
TETRATERPENOID_BIOSYNTHETIC_PROCESS	GO:0016109   tetraterpenoid biosynthetic process,    GOslim:biological_process	3	736	BP	105	AT4G39040//AT5G57030//AT1G65230	0.507237028504895	1
ASPARTATE-TRNA_LIGASE_ACTIVITY	GO:0004815   aspartate-tRNA ligase activity,    GOslim:molecular_function	1	736	MF	2	AT4G31180	0.0729714930725073	1
DETECTION_OF_BACTERIUM	GO:0016045   detection of bacterium,    GOslim:biological_process	1	736	BP	16	AT2G30770	0.349147325222186	1
AT5G08520_COLAMP_A	At5g08520_colamp_a(AT5G08520) Target genes predicted by DAP-seq	149	736	TFT	6627	AT1G64660//AT1G60850//AT1G48570//AT1G49760//AT2G33380//AT1G80270//AT1G18850//AT5G44490//AT2G34970//AT4G19130//AT2G24500//AT5G26270//AT3G28270//AT5G28235//AT3G58270//AT3G12390//AT5G16750//AT3G06530//AT5G60670//AT3G28070//AT5G22650//AT2G41840//AT3G56150//AT5G30490//AT3G01600//AT3G55510//AT4G38810//AT5G25754//AT2G43650//AT3G27710//AT2G21640//AT3G13940//AT3G48250//AT1G31660//AT4G27010//AT4G12600//AT1G25350//AT3G04600//AT5G40770//AT5G65860//AT5G17710//AT3G10610//AT3G16310//AT5G04600//AT2G18180//AT3G14700//AT2G18020//AT4G16630//AT1G79950//AT4G02400//AT1G65230//AT5G27620//AT2G03820//AT4G01037//AT2G05160//AT2G24560//AT2G03550//AT1G61570//AT1G42440//AT4G24480//AT3G28500//AT3G16810//AT1G09620//AT4G07410//AT2G44120//AT4G16180//AT1G52980//AT5G57030//AT1G03530//AT1G69070//AT1G17690//AT3G13580//AT2G18900//AT2G16570//AT5G55920//AT3G18140//AT5G66540//AT2G03710//AT1G49920//AT4G18905//AT3G48500//AT4G02930//AT5G05990//AT5G60260//AT5G36900//AT4G37910//AT5G24280//AT2G39990//AT4G05410//AT1G18800//AT3G16780//AT4G28450//AT2G27840//AT3G23480//AT1G32550//AT4G26600//AT5G48240//AT2G40570//AT1G11070//AT4G13750//AT2G40360//AT1G49540//AT3G02080//AT5G52520//AT4G28030//AT2G36070//AT1G57870//AT2G25640//AT3G54090//AT1G48400//AT1G03110//AT1G68660//AT3G51750//AT1G75240//AT3G57940//AT3G02790//AT3G21950//AT1G07940//AT3G22320//AT1G68990//AT5G04150//AT1G67865//AT4G04030//AT3G02560//AT3G04920//AT1G10490//AT2G06420//AT3G57290//AT1G74560//AT5G40490//AT1G14610//AT2G40510//AT2G04030//AT2G37990//AT1G29965//AT5G11270//AT3G56070//AT2G41190//AT5G23300//AT3G26730//AT4G09800//AT1G34030//AT2G37270//AT3G58660//AT1G47500//AT5G06360//AT1G64600//AT1G02870//AT1G17960	0.966945210940945	1
3-METHYL-2-OXOBUTANOATE_DEHYDROGENASE_(2-METHYLPROPANOYL-TRANSFERRING)_ACTIVITY	GO:0003863   3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,    GOslim:molecular_function	1	736	MF	4	AT1G21400	0.118640141978985	1
IMP_METABOLIC_PROCESS	GO:0046040   IMP metabolic process,    GOslim:biological_process	2	736	BP	11	AT2G37690//AT3G55010	0.0403897454700872	1
LIGASE_ACTIVITY,_FORMING_AMINOACYL-TRNA_AND_RELATED_COMPOUNDS	GO:0016876   ligase activity, forming aminoacyl-tRNA and related compounds,    GOslim:molecular_function	15	736	MF	67	AT3G11710//AT3G42723//AT5G56680//AT3G04600//AT5G27470//AT3G30770//AT3G62120//AT3G02760//AT1G14610//AT2G33840//AT5G52520//AT1G25350//AT4G31180//AT1G09620//AT1G17960	1.65222696732602e-09	2.54847629791155e-07
STARCH_BIOSYNTHETIC_PROCESS	GO:0019252   starch biosynthetic process,    GOslim:biological_process	1	736	BP	191	AT1G65230	0.99228923054424	1
HORMONE_TRANSPORT	GO:0009914   hormone transport,    GOslim:biological_process	1	736	BP	100	AT4G13750	0.922327592720294	1
