"set","log2fc","minuslogpv","proteinids","majorityproteinids","fastaheaders","numberofproteins","peptides","uniquepeptides","sequencecoveragep","moldotweightkda","qhvalue","score","idsfrondevi","evidenceids","chrinfo","proj","experiment","username","foldchange","pvalue","analyinfo"
"compare2up","1.5652291005692824,1.9869536002143353","2.0781261883771105,3.3571288101646233","LOC_Os07g48040.1","LOC_Os07g48040.1",">LOC_Os07g48040.1 protein|peroxidase precursor, putative, expressed","1.0","12.0","10.0","61.5","32.437","nan","69.076","3128.0","41419;41420;41421;41422;41423;41424;41425;91453;91454;91455;91456;91457;91458;91561;91562;91563;91564;91565;91566;91567;91568;91569;91570;91571;91572;91573;91574;91575;174938;174939;174940;174941;174942;174943;174944;174945;174946;174947;174948;174949;174950;174951;174952;174953;174954;193286;193287;193288;193289;193290;193291;293215;293216;293217;340488;340489;340490;340491;340492;340493;340494;340495;340496;340497;340498;340499;340500;340501;340502;340503;340504;340505;340506;340507;340508;340509;340510;340511;340512;340513;340514;340515;340516;340517;340518;340519;340520;340521;340522;340523;340524;340525;340526;340527;340528;340529;340530;340531;340532;340533;341635;341636;341637;341638;341639;341640;341641;341642;341643;341644;341645;341646;341647;341648;341649;341650;341651;341652;341653;341654;341655;341656;341657;341658;341659;341660;341661;341662;341663;341664;341665;341666;341667;341668;341669;341670;341671;341672;341673;341674;341675;341676;341677;341678;341679;341680;341681;341682;341683;341684;341685;341686;341687;341688;341689;341690;341691;341692;341693;341694;341695;341696;341697;341698;341699;353935;353936;353937;353938;353939;353940;353941;353942;353943;353944;389494;389495;389496;389497;389498;389499;389500;389501;389502;389503;389504;404943;404944;404945;404946;404947;404948;404949;404950;404951;404952;404953;404954;404955;404956;404957;404958;404959;404960;404961;404962;404963;404964;404965;404966;404967;404968;404969;404970;432347;432348;432349","LOC_Os07g48040.1:Chr7:28684200","forPPT","PPT1projLFQ_AnI;A1","ppt","1.5652291005692824,1.9869536002143353","0.12516452734491249,  0.03483513377834163","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2up","2.8340674260611736,2.574411592619467","0.8831267760906797,3.828170113087911","LOC_Os10g39260.1;LOC_Os12g24040.1","LOC_Os10g39260.1",">LOC_Os10g39260.1 protein|aspartic proteinase nepenthesin, putative, expressed","2.0","9.0","4.0","40.1","40.65","nan","69.543","3803.0","13377;13378;17952;17953;17954;17955;17956;17957;17958;17959;17960;17961;17962;17963;17964;17965;17966;17967;64525;64526;64527;64528;64529;64530;64531;64532;69086;69087;69088;370703;370704;370705;370706;370707;370708;406826;406827;406828;406829;406830;406831;406832;406833;406834;406835;406836;406837;406838;406839;462768;462769;462770;491529;491530;491531;491532;491533;491534;491535;491536;491537;491538;491539","LOC_Os10g39260.1:Chr10:20956946","forPPT","PPT1projLFQ_AnI;A1","ppt","2.8340674260611736,2.574411592619467","0.4134880038888725,  0.02174937814070987","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2up","1.8292136565565373,2.1730745088285532","1.0901802895426382,5.830657359192716","LOC_Os12g42520.1","LOC_Os12g42520.1",">LOC_Os12g42520.1 protein|receptor kinase, putative, expressed","1.0","1.0","1.0","0.9","114.58","0.0010576","3.226","4206.0","405805;405806;405807;405808;405809;405810;405811;405812;405813;405814;405815;405816;405817;405818;405819;405820;405821;405822;405823;405824;405825","LOC_Os12g42520.1:Chr12:26415934","forPPT","PPT1projLFQ_AnI;A1","ppt","1.8292136565565373,2.1730745088285532","0.33615588285277126,  0.002936146242975159","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-0.45242692058941036,-1.7534356430105997","0.7138982777224927,3.2757027689957834","LOC_Os03g48270.1","LOC_Os03g48270.1",">LOC_Os03g48270.1 protein|CAMK_CAMK_like.21 - CAMK includes calcium/calmodulin depedent protein kinases, expressed","1.0","1.0","1.0","1.4","63.977","1.0","-2.0","1539.0","79264;79265;79266;79267;79268;79269;79270;79271;79272;79273;79274","LOC_Os03g48270.1:Chr3:27467551","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.45242692058941036,-1.7534356430105997","0.4897313626416683,  0.03779030204250415","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-0.7322376667368764,-1.5087398691922282","2.5329797229687894,3.2302373613693827","LOC_Os04g37480.1;LOC_Os04g37480.2","LOC_Os04g37480.1;LOC_Os04g37480.2",">LOC_Os04g37480.1 protein|oxidoreductase, aldo/keto reductase family protein, putative, expressed;>LOC_Os04g37480.2 protein|oxidoreductase, aldo/keto reductase family protein, putative, expressed","2.0","9.0","7.0","33.1","36.123","nan","20.252","1897.0","25824;25825;25826;25827;25828;25829;25830;25831;25832;25833;25834;65477;65478;65479;65480;65481;65482;65483;65484;99050;99051;99052;99053;99054;99055;99056;99057;197971;197972;197973;197974;197975;197976;197977;197978;197979;197980;197981;197982;198527;239949;239950;239951;239952;239953;239954;239955;239956;411383;444036;444037;444038;444039;444040;444041;444042;444043;444044;444045;444046;538791;538792;538793;538794;538795;538796;538797;538798;538799;538800;538801","LOC_Os04g37480.1:Chr4:22321322^^LOC_Os04g37480.2:Chr4:22321322","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.7322376667368764,-1.5087398691922282","0.07942201175871857,  0.03954811048057184","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-0.66189475136864,-1.6295725563346397","1.8307712502269073,3.161284343959544","LOC_Os04g39150.1","LOC_Os04g39150.1",">LOC_Os04g39150.1 protein|pathogenesis-related Bet v I family protein, putative, expressed","1.0","9.0","9.0","75.8","17.266","nan","66.108","1925.0","51924;51925;51926;51927;159116;159117;159118;159119;159120;159121;159122;159123;159124;159125;159126;159127;159128;304331;304332;422731;422732;422733;422734;422735;422736;422737;422738;422739;422740;445912;445913;445914;445915;445916;445917;445918;445919;445920;445921;445922;445923;445924;445925;445926;445927;445928;445929;445930;445931;445932;445933;445934;445935;445936;445937;521394;521395;521396;521397;521398;521399;521400;521401;521402;521403;521404;521405;521406;521407;521408;521409;521410;532105;532106;532107;532108;532109;532110;532111;532112;532113;532114;532115;532116;532117;532118;532119;532120;532121;532122;532123;532124;532125;532126;532127;532128;559652;559653;559654;559655;559656;559657;559658;559659","LOC_Os04g39150.1:Chr4:23278560","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.66189475136864,-1.6295725563346397","0.1602898964715179,  0.042371286812715785","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-0.7589907889288893,-1.547877627135264","2.124638799744831,3.0767642035869303","LOC_Os07g23120.1;LOC_Os07g23120.2","LOC_Os07g23120.1;LOC_Os07g23120.2",">LOC_Os07g23120.1 protein|expressed protein;>LOC_Os07g23120.2 protein|expressed protein","2.0","9.0","8.0","47.4","31.888","nan","31.675","2921.0","5337;5338;5339;5340;5341;5342;5343;5344;5345;5346;5347;5348;5349;5350;5351;5352;5353;5354;5355;5356;5357;5358;5359;26204;26205;26206;26207;26208;26209;26210;74991;74992;97970;97971;97972;97973;114875;114876;114877;114878;114879;114880;114881;114882;138124;138125;138126;138127;138128;138129;138130;138131;138132;138133;429866;429867;429868;429869;429870;429871;429872;429873;429874;429875;429876;429877;429878;429879;429880;429881;429882;487420;487421;487422;487423;487424;487425;487426;487427;487428;487429;544470;544471;544472;544473;544474;544475;544476;544477;544478;544479;544480;544481;544482;544483","LOC_Os07g23120.1:Chr7:13037658^^LOC_Os07g23120.2:Chr7:13038042","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.7589907889288893,-1.547877627135264","0.11947611527721967,  0.04610821231198798","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-0.409721929438237,-1.6416855490765678","1.1070102227393397,5.19281679252278","LOC_Os08g29160.1","LOC_Os08g29160.1",">LOC_Os08g29160.1 protein|5-AMP-activated protein kinase beta-1 subunit-related, putative, expressed","1.0","5.0","5.0","10.5","66.044","nan","11.767","3287.0","38076;38077;38078;38079;102736;123071;123072;123073;123074;123075;123076;123077;123078;204261;223613;223614;223615;223616;223617;223618;223619;223620;223621;223622;223623;223624;223625;223626;223627;223628;223629","LOC_Os08g29160.1:Chr8:17852016","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.409721929438237,-1.6416855490765678","0.33054574335762177,  0.005556333712089226","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-1.0418441377468857,-1.7643755718300698","1.5546027752604494,5.930642453612069","LOC_Os09g37600.1","LOC_Os09g37600.1",">LOC_Os09g37600.1 protein|lysM domain-containing GPI-anchored protein precursor, putative, expressed","1.0","6.0","6.0","21.4","38.686","nan","44.385","3624.0","9704;9705;9706;9707;9708;9709;9710;18171;18172;18173;18174;18175;18176;18177;35663;35664;35665;35666;35667;35668;35669;35670;35671;35672;35673;35674;35675;35676;35677;35678;35679;35680;35681;35682;35683;35684;35685;35686;35687;35688;35689;35690;35691;35692;35693;237073;237074;237075;237076;237077;237078;237079;237080;237081;237082;237083;237084;237085;237086;237087;237088;237089;312114;312115;417689;417690;417691;417692;417693;417694;417695;417696;417697;417698;417699;417700;417701;417702;417703;417704;417705;417706;417707;417708;417709;417710;417711;417712;417713;417714","LOC_Os09g37600.1:Chr9:21677527","forPPT","PPT1projLFQ_AnI;A1","ppt","-1.0418441377468857,-1.7643755718300698","0.2112732889522146,  0.0026567745859423426","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2down","-1.2717812131199684,-1.918037458875693","2.3806462598768294,5.609300579507133","LOC_Os12g08760.1","LOC_Os12g08760.1",">LOC_Os12g08760.1 protein|carboxyvinyl-carboxyphosphonate phosphorylmutase, putative, expressed","1.0","17.0","17.0","55.1","37.55","nan","122.14","4067.0","38607;38608;38609;38610;38611;38612;38613;38614;38615;38616;38617;38618;38619;38620;38621;38622;38623;38624;38625;38626;38627;38628;38629;38630;38631;38632;38633;38634;38635;38636;38637;38638;38639;38640;38641;38642;38643;120706;120707;120708;120709;120710;120711;120712;120713;120714;120715;120716;120717;120718;120719;120720;120721;120722;120723;120724;120725;120726;120727;120728;120729;120730;120731;120732;120733;143760;143761;143762;143763;143764;143765;143766;143767;143768;143769;143770;143771;143772;143773;143774;143775;143776;143777;143778;143779;143780;143781;143782;143783;143784;143785;143786;143787;143788;143789;143790;211115;211116;211117;211118;211119;211120;211121;211122;211123;211124;211125;211126;211127;211128;211129;211130;211131;256811;256812;256813;256814;256815;256816;256817;256818;256819;256820;256821;256822;256823;256824;256825;256826;256827;256828;256829;256830;256831;256832;256833;256834;256835;256836;256837;256838;256839;256840;256841;379629;379630;379631;379632;379633;379634;379635;379636;379637;379638;379639;379640;379641;379642;379643;379644;379645;379646;379647;379648;379649;379650;379651;379652;379653;390576;390577;390578;390579;390580;390581;390582;390583;390584;390585;390586;390587;390588;390589;390590;390591;390592;401623;401624;401625;401626;424122;424123;424124;424125;424126;424127;424128;424129;424130;424131;424132;424133;424134;424135;424136;424137;424138;424139;424140;435493;435494;435495;435496;435497;435498;435499;435500;435501;435502;435503;435504;435505;435506;435507;435508;435509;435510;435511;435512;435513;435514;435515;435516;435517;435518;435519;435520;435521;435522;435523;435524;435525;435526;435527;435528;435529;435530;435531;435532;435533;435534;470591;470592;470593;470594;470595;481251;481252;481253;481254;481255;481256;481257;481258;481259;481260;481261;481262;481263;481264;481265;481266;481267;481268;481269;481270;481271;481272","LOC_Os12g08760.1:Chr12:4499872","forPPT","PPT1projLFQ_AnI;A1","ppt","-1.2717812131199684,-1.918037458875693","0.09249078510831718,  0.003663630880351896","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","-0.01208474744602793,0.35506218784582966","0.07058975456701146,3.0048489053417855","ChrUn.fgenesh.mRNA.96;LOC_Os06g11260.1;LOC_Os06g11280.1;LOC_Os06g11290.1;LOC_Os06g11240.1","ChrUn.fgenesh.mRNA.96",">ChrUn.fgenesh.mRNA.96 protein|expressed protein","5.0","13.0","12.0","51.2","37.037","nan","80.203","5.0","63900;63901;63902;63903;63904;63905;63906;63907;63908;63909;63910;63911;63912;63913;63914;63915;63916;117206;117207;117208;117209;123193;123194;123195;123196;123197;123198;123199;123200;123201;123202;123203;123204;123205;123206;123207;123208;123209;123210;123211;123212;123213;123214;123215;130621;130622;130623;130624;130625;130626;130627;130628;130629;130630;130631;130632;130633;130634;130635;130636;130637;130638;130639;186374;186375;186376;186377;186378;186379;186380;186381;186382;186383;186384;186385;186386;186387;186388;186389;186390;186391;186392;186393;186394;186395;186396;186397;186398;186399;186400;283997;283998;283999;284000;284001;284002;284003;284004;284005;284006;284007;284008;284009;284010;284011;284012;284013;284014;284015;284016;284017;284018;284019;284020;284021;284022;284023;284024;284025;284026;286287;320197;437184;437185;437186;437187;437188;437189;437190;437191;437192;437193;437194;437195;437196;437197;437198;437199;437200;528343;528344;528345;528346;528347;528348;528349;528350;528351;528352;528353;528354;528355;528356;528357;528358;528359","ChrUn.fgenesh.mRNA.96:ChrUn:626255","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.01208474744602793,0.35506218784582966","0.931844098508691,  0.04954623993510085","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","-0.38880090737960615,-0.8631108481392775","2.0109941277259575,4.693769383925777","LOC_Os01g01650.1","LOC_Os01g01650.1",">LOC_Os01g01650.1 protein|isoflavone reductase homolog IRL, putative, expressed","1.0","20.0","17.0","71.7","34.305","nan","185.9","23.0","5942;5943;5944;5945;5946;5947;5948;5949;5950;5951;5952;5953;5954;5955;5956;5957;5958;5959;5960;5961;5962;5963;5964;5965;5966;5967;5968;5969;5970;5971;5972;5973;5974;5975;5976;5977;5978;5979;5980;5981;5982;5983;5984;5985;5986;5987;5988;5989;5990;5991;49444;49445;49446;49447;49448;49449;49450;49451;49452;49453;49454;49455;49456;49457;49458;49459;49460;60049;60050;60051;60052;60053;60054;60055;60056;60057;60058;60059;60060;60061;60062;60063;60064;60065;60066;60067;63520;63521;63522;63523;63524;63525;63526;63527;63528;63529;63530;63531;63532;63533;63534;63535;63536;63537;63538;63539;63540;63541;72571;72572;72573;72574;72575;72576;72577;72578;72579;72580;72581;72582;73099;73100;73101;73102;73103;73104;73105;73106;73107;73108;73109;73110;73111;73112;73113;73114;73115;73116;73117;73118;73119;73120;73121;73122;73123;73124;73125;73126;73127;73128;73129;73130;83907;83908;83909;83910;83911;83912;83913;83914;83915;83916;83917;83918;83919;83920;83921;83922;83923;83924;83925;133927;133928;133929;133930;133931;133932;133933;133934;133935;133936;133937;133938;133939;133940;133941;133942;133943;133944;133945;133946;133947;133948;133949;133950;133951;133952;133953;152148;152149;152150;152151;152152;152153;152154;152155;152156;225452;225453;225454;225455;225456;225457;225458;225459;225460;225461;225462;225463;225464;225465;225466;225467;225468;225469;225470;225471;225472;225473;225474;225475;225476;225477;225478;225479;225480;225481;225482;225483;225484;225485;225486;230863;230864;230865;230866;230867;230868;230869;230870;230871;230872;230873;230874;230875;230876;230877;230878;230879;230880;230881;230882;230883;230884;230885;230886;230887;230888;230889;230890;230891;230892;230893;230894;230895;230896;230897;287200;287201;287202;287203;287204;287205;287206;287207;287208;287209;287210;287211;287212;287213;287214;287215;287216;287217;287218;287219;287220;287221;287222;287223;287224;293218;293219;293220;293221;293222;293223;293224;293225;293226;293227;293228;293229;293230;293231;293232;293233;293234;293235;293236;293237;293238;293239;293240;293241;293242;293243;293244;293245;293246;293247;293248;293249;293250;293251;293252;293253;373695;373696;373697;373698;373699;373700;373701;373702;373703;373704;373705;373706;373707;373708;373709;373710;373711;393135;393136;393137;393138;393139;455556;455557;455558;455559;455560;526750;526751;526752;526753;526754;526755;526756;526757;526758;526759;526760;526761;526762;526763;526764;526765;526766;526767;526768;526769;526770;526771;526772;526773;526774;526775;526776;526777;526778;526779;526780;526781;526782;526783;526784;526785;526786;526787;526788;526789;526790;526791;526792;526793;526794;526795;526796;526797;526798;526799;526800;526801;526802;526803;526804;526805;526806;526807;526808;526809;526810;526811;526812;526813;526814;526815;526816;526817;526818;526819;526820;526821;526822;526823;526824;526825;526826;526827;526828;526829;526830;535875;535876;535877;535878;535879;535880;535881;535882;535883;535884","LOC_Os01g01650.1:Chr1:323054","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.38880090737960615,-0.8631108481392775","0.13385553900024683,  0.009152123190583032","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","-0.6543278773378123,-1.3222689062858257","2.50162330882462,9.523558042664238","LOC_Os01g01660.1","LOC_Os01g01660.1",">LOC_Os01g01660.1 protein|isoflavone reductase, putative, expressed","1.0","15.0","12.0","69.1","33.501","nan","323.31","24.0","72583;72584;72585;72586;72587;72588;72589;72590;72591;72592;72593;72594;72595;72596;72597;72598;72599;72600;73131;73132;73133;73134;73135;73136;73137;73138;73139;73140;73141;73142;73143;73144;73145;73146;73147;73148;73149;73150;73151;73152;73153;73154;73155;73156;73157;73158;73159;73160;73161;73162;73163;73164;73165;73166;73167;73168;73169;73170;73171;73172;86559;86560;86561;86562;86563;86564;86565;86566;86567;86568;86569;86570;86571;86572;137724;137725;137726;137727;137728;137729;137730;137731;137732;137733;137734;137735;137736;137737;137738;137739;137740;137741;137742;137743;137744;137745;137746;137747;137748;137749;137750;137751;137752;137753;137754;137755;137756;137757;137758;137759;137760;137761;137762;137763;137764;137765;137766;137767;156140;156141;156142;156143;156144;156145;156146;156147;156148;156149;156150;156151;156152;230863;230864;230865;230866;230867;230868;230869;230870;230871;230872;230873;230874;230875;230876;230877;230878;230879;230880;230881;230882;230883;230884;230885;230886;230887;230888;230889;230890;230891;230892;230893;230894;230895;230896;230897;287200;287201;287202;287203;287204;287205;287206;287207;287208;287209;287210;287211;287212;287213;287214;287215;287216;287217;287218;287219;287220;287221;287222;287223;287224;292409;355653;355654;355655;355656;355657;355658;355659;355660;355661;355662;355663;355664;355665;355666;355667;355668;355669;355670;355671;355672;355673;355674;355675;355676;355677;355678;355679;355680;355681;355682;355683;355684;355685;355686;355687;355688;355689;355690;355691;355692;355693;355694;355695;355696;355697;355698;355699;383019;383020;383021;383022;383023;383024;383025;383026;383027;383028;383029;383030;383031;383032;383033;383034;383035;426597;426598;426599;426600;426601;426602;426603;426604;426605;426606;426607;426608;426609;426610;526750;526751;526752;526753;526754;526755;526756;526757;526758;526759;526760;526761;526762;526763;526764;526765;526766;526767;526768;526769;526770;526771;526772;526773;526774;526775;526776;526777;526778;526779;526780;526781;526782;526783;526784;526785;526786;526787;526788;526789;526790;526791;526792;526793;526794;526795;526796;526797;526798;526799;526800;526801;526802;526803;526804;526805;526806;526807;526808;526809;526810;526811;526812;526813;526814;526815;526816;526817;526818;526819;526820;526821;526822;526823;526824;526825;526826;526827;526828;526829;526830;535866;535867;535868;535869;535870;535871;535872;535873;535874","LOC_Os01g01660.1:Chr1:327618","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.6543278773378123,-1.3222689062858257","0.08195185741515028,  7.310907582195197e-05","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","-0.4433057727325794,-0.7525359455930775","1.499383743808783,3.3046320573295604","LOC_Os01g02880.1","LOC_Os01g02880.1",">LOC_Os01g02880.1 protein|fructose-bisphospate aldolase isozyme, putative, expressed","1.0","15.0","14.0","46.6","41.994","nan","99.304","32.0","29008;29009;29010;29011;29012;29013;29014;29015;29016;29017;29018;37351;37352;37353;37354;37355;37356;37357;37358;37359;37360;37361;37362;37363;37364;44417;44418;44419;44420;44421;44422;44423;44424;44425;44426;44427;96020;96021;96022;96023;96024;96025;96026;96027;96028;96029;96030;96031;96032;96033;96034;96035;96036;96037;96038;96039;96040;96041;96042;96043;96044;96045;96046;96047;145501;145502;145503;145504;145505;145506;145507;145508;145509;145510;145511;145512;145513;145514;145515;145516;145517;145518;145519;166540;166541;166542;166543;166544;166545;166546;166547;166548;166549;166550;166551;166552;166553;166554;166555;166556;166557;166558;166559;166560;166561;166562;166563;166564;166565;166566;166567;166568;166569;166570;166571;166572;176000;176001;176002;176003;176004;176005;176006;176007;176008;176009;176010;176011;176012;176013;204957;204958;204959;204960;204961;204962;204963;204964;275700;275701;275702;275703;275704;275705;275706;275707;275708;275709;275710;275711;275712;275713;275714;275715;385256;385257;385258;471636;471637;471638;471639;471640;471641;471642;471643;471644;471645;471646;471647;472207;472208;472209;472210;472211;472212;472213;472214;472215;472216;472217;472218;472219;472220;472221;472222;472223;472224;472225;472226;472227;472228;482701;482702;482703;482704;559868;559869;559870;559871;559872;559873;559874;559875;559876","LOC_Os01g02880.1:Chr1:1016130","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.4433057727325794,-0.7525359455930775","0.22326770786903272,  0.036712717526900196","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","-0.3538822925057637,-0.3306010035551768","1.3815342670280444,3.079157968573613","LOC_Os01g05800.2;LOC_Os01g05800.1;LOC_Os03g62750.2;LOC_Os03g62750.3;LOC_Os03g62750.4;LOC_Os03g62750.1","LOC_Os01g05800.2;LOC_Os01g05800.1",">LOC_Os01g05800.2 protein|inner membrane protein, putative, expressed;>LOC_Os01g05800.1 protein|inner membrane protein, putative, expressed","6.0","3.0","3.0","9.6","48.838","nan","86.576","62.0","236278;236279;236280;236281;236282;236283;236284;236285;236286;236287;236288;236289;236290;236291;236292;236293;236294;236295;236296;236297;286756;286757;286758;286759;286760;286761;286762;286763;286764;286765;286766;286767;286768;286769;286770;286771;286772;286773;286774;286775;286776;286777;387571;387572;387573;387574;387575;387576;387577;387578;387579;387580;387581;387582;387583;387584;387585;387586;387587;387588;387589;387590;387591;387592;387593;387594;387595;387596;387597;387598;387599;387600;387601;387602;387603;387604;387605;387606;387607;387608;387609;387610;387611;387612;387613;387614","LOC_Os01g05800.2:Chr1:2770295^^LOC_Os01g05800.1:Chr1:2770295","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.3538822925057637,-0.3306010035551768","0.2511928603343089,  0.04599797208499549","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","-0.5196353490997782,-0.680780299148082","2.5160233081420667,4.125212454804381","LOC_Os01g06020.1","LOC_Os01g06020.1",">LOC_Os01g06020.1 protein|aspartyl-tRNA synthetase, putative, expressed","1.0","15.0","15.0","42.1","42.862","nan","87.251","64.0","31897;31898;31899;31900;31901;31902;31903;31904;31905;31906;31907;31908;31909;31910;31911;31912;31913;31914;31915;32134;32135;32136;32137;47545;47546;47547;47548;47549;47550;47551;47552;47553;47554;47555;47556;47557;47558;47559;47560;47561;94601;94602;94603;94604;94605;94606;94607;94608;100233;100234;100235;100236;127194;127195;127196;127197;127198;127199;127200;127201;127202;127203;127204;127205;127206;127207;127208;127209;127210;199453;199454;199455;199456;199457;214360;214361;214633;214634;214635;214636;214637;214638;214639;214640;214641;324172;324173;324174;324175;324176;324177;324178;324179;324180;324181;324182;324183;324184;324185;324186;324187;324188;324189;324190;324191;324192;407057;407058;407059;407060;407061;407062;407063;407064;407065;407066;407067;407068;407069;407070;407071;407072;407073;407074;407075;407076;407077;407078;407079;407080;407081;407082;407083;407084;549730;549731;549732;549733;549734;549735;549736;549737","LOC_Os01g06020.1:Chr1:2877653","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.5196353490997782,-0.680780299148082","0.08078020685399888,  0.016160060940845378","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare2similar","0.039716184017985656,-0.6024025250832006","0.06902623330944202,4.900782225873035","LOC_Os01g08350.1","LOC_Os01g08350.1",">LOC_Os01g08350.1 protein|ATP synthase subunit alpha, mitochondrial, putative, expressed","1.0","9.0","3.0","62.9","12.367","nan","16.663","83.0","46139;46140;46141;46142;46143;46144;46145;46146;46147;46148;46149;46150;164257;164258;164259;164260;164261;164262;164263;164264;164265;164266;164267;164268;164269;164270;164271;164272;164273;164274;164275;164276;164277;164278;164279;164280;164281;164282;164283;164284;164285;164286;164287;164288;164289;164290;164291;164292;164293;164294;164295;164296;164297;164298;164299;164300;164301;164302;164303;164304;164305;164306;164307;164308;164309;164310;164311;164312;164313;164314;164315;164316;164317;164318;164319;164320;164321;164322;164323;164324;164325;164326;164327;164328;164329;164330;164331;164332;164333;164334;164335;164336;164337;164338;164339;164340;164341;164342;396054;396055;396056;396057;396058;396059;396060;396061;396062;396063;396064;396065;396066;396067;396068;396069;396070;396071;396072;396073;396074;396075;396076;396077;396078;396079;396080;396081;396082;396083;396084;396085;396086;396087;396088;396089;449016;449017;449018;449019;449020;449021;449022;449023;449024;449025;449026;449027;449028;449029;449030;449031;449032;449033;449034;449035;449036;449037;449038;449039;449040;449041;484771;484772;484773;484774;484775;484776;484777;484778;484779;484780;484781;484782;484783;484784;484785;484786;484787;484788;484789;484790;484791;484792;484793;484794;484795;484796;484797;484798;484799;484800;484801;484802;524684;524685;524686;524687;524688;524689;524690;524691;524692;524693;524694;524695;524696;524697;524698;524699;524700;524701;524702;524703;524704;524705;524706;524707;524708;524709;524710;524711;524712;524713;524714;524715;524716;524717;524718;524719;524720;524721;524722;524723;524724;524725;524726;524727;524728;524729;524730;524731;524732;524733;524734;524735;524736;524737;524738;524739;524740;524741;524742;524743;524744;524745;524746;524747;524748;524749;524750;524751;524752;524753;524754;524755;524756;524757;524758;524759;524760;524761;524762;524763;524764;524765;524766;524767;524768;524769;524770;524771;524772;524773;524774;524775;524776;524777;524778;524779;524780;524781;524782;524783;524784;524785;524786;524787;524788;524789;524790;524791;524792;524793;524794;524795;524796;524797;524798;524799;524800;524801;524802;524803;524804;524805;524806;524807;524808;524809;524810;524811;524812;524813;524814;524815;524816;524817;524818;524819;524820;524821;524822;524823;524824;524825;524826;524827;524828","LOC_Os01g08350.1:Chr1:4095856","forPPT","PPT1projLFQ_AnI;A1","ppt","0.039716184017985656,-0.6024025250832006","0.9333021961517416,  0.007440760438584281","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
